gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength
9691-9691_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=9691,LPL,2023,Spring,0,1/14/2023 8:15,2,13.01,6,Red,top,Xiaolaohu,oe:player:0e42126e417733263459e2b54ae7e2a,FunPlus Phoenix,oe:team:33d17f3717f58e12a3da80b377221fb,Jax,Lucian,Vi,Maokai,Renekton,Jayce,1779
9691-9691_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=9691,LPL,2023,Spring,0,1/14/2023 8:15,2,13.01,7,Red,jng,haoye,oe:player:1e9df7dacc21aca9011a58eac5abae5,FunPlus Phoenix,oe:team:33d17f3717f58e12a3da80b377221fb,Wukong,Lucian,Vi,Maokai,Renekton,Jayce,1779
9691-9691_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=9691,LPL,2023,Spring,0,1/14/2023 8:15,2,13.01,8,Red,mid,Care,oe:player:6bc43cc1537fa4ac6295b4899e972cf,FunPlus Phoenix,oe:team:33d17f3717f58e12a3da80b377221fb,Kassadin,Lucian,Vi,Maokai,Renekton,Jayce,1779
9691-9691_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=9691,LPL,2023,Spring,0,1/14/2023 8:15,2,13.01,9,Red,bot,Lwx,oe:player:ce76a8fc639b0cc96da48c76bc0bbeb,FunPlus Phoenix,oe:team:33d17f3717f58e12a3da80b377221fb,Zeri,Lucian,Vi,Maokai,Renekton,Jayce,1779
9691-9691_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=9691,LPL,2023,Spring,0,1/14/2023 8:15,2,13.01,10,Red,sup,Lele,oe:player:ad991b9f2f7e553d4eefb9f5d06afc9,FunPlus Phoenix,oe:team:33d17f3717f58e12a3da80b377221fb,Lulu,Lucian,Vi,Maokai,Renekton,Jayce,1779
9691-9691_game_3,partial,https://lpl.qq.com/es/stats.shtml?bmid=9691,LPL,2023,Spring,0,1/14/2023 9:07,3,13.01,1,Blue,top,Xiaolaohu,oe:player:0e42126e417733263459e2b54ae7e2a,FunPlus Phoenix,oe:team:33d17f3717f58e12a3da80b377221fb,Gwen,Lucian,Maokai,Varus,Lulu,Renekton,2692
9691-9691_game_3,partial,https://lpl.qq.com/es/stats.shtml?bmid=9691,LPL,2023,Spring,0,1/14/2023 9:07,3,13.01,2,Blue,jng,haoye,oe:player:1e9df7dacc21aca9011a58eac5abae5,FunPlus Phoenix,oe:team:33d17f3717f58e12a3da80b377221fb,Wukong,Lucian,Maokai,Varus,Lulu,Renekton,2692
9691-9691_game_3,partial,https://lpl.qq.com/es/stats.shtml?bmid=9691,LPL,2023,Spring,0,1/14/2023 9:07,3,13.01,3,Blue,mid,Care,oe:player:6bc43cc1537fa4ac6295b4899e972cf,FunPlus Phoenix,oe:team:33d17f3717f58e12a3da80b377221fb,Akali,Lucian,Maokai,Varus,Lulu,Renekton,2692
9691-9691_game_3,partial,https://lpl.qq.com/es/stats.shtml?bmid=9691,LPL,2023,Spring,0,1/14/2023 9:07,3,13.01,4,Blue,bot,Lwx,oe:player:ce76a8fc639b0cc96da48c76bc0bbeb,FunPlus Phoenix,oe:team:33d17f3717f58e12a3da80b377221fb,Kalista,Lucian,Maokai,Varus,Lulu,Renekton,2692
9691-9691_game_3,partial,https://lpl.qq.com/es/stats.shtml?bmid=9691,LPL,2023,Spring,0,1/14/2023 9:07,3,13.01,5,Blue,sup,Lele,oe:player:ad991b9f2f7e553d4eefb9f5d06afc9,FunPlus Phoenix,oe:team:33d17f3717f58e12a3da80b377221fb,Heimerdinger,Lucian,Maokai,Varus,Lulu,Renekton,2692
